region,distrito,n_constituyentes,comuna,circunscripcion
DE VALPARAISO,DISTRITO 7,7,ALGARROBO,ALGARROBO
METROPOLITANA DE SANTIAGO,DISTRITO 14,5,ALHUE,ALHUE
DEL BIOBIO,DISTRITO 21,4,ALTO BIOBIO,ALTO BIOBIO
DEL BIOBIO,DISTRITO 21,4,ALTO BIOBIO,CAUÑICU
DEL BIOBIO,DISTRITO 21,4,ALTO BIOBIO,RALCO LEPOY
DE ATACAMA,DISTRITO 4,4,ALTO DEL CARMEN,ALTO DEL CARMEN
DE ATACAMA,DISTRITO 4,4,ALTO DEL CARMEN,EL TRANSITO
DE ATACAMA,DISTRITO 4,4,ALTO DEL CARMEN,SAN FELIX
DE TARAPACA,DISTRITO 2,3,ALTO HOSPICIO,ALTO HOSPICIO
DE LOS LAGOS,DISTRITO 26,4,ANCUD,ANCUD
DE LOS LAGOS,DISTRITO 26,4,ANCUD,CHACAO
DE LOS LAGOS,DISTRITO 26,4,ANCUD,PILLUCO
DE COQUIMBO,DISTRITO 5,6,ANDACOLLO,ANDACOLLO
DE LA ARAUCANIA,DISTRITO 22,3,ANGOL,ANGOL
DE LA ARAUCANIA,DISTRITO 22,3,ANGOL,HUEQUEN
DE ANTOFAGASTA,DISTRITO 3,4,ANTOFAGASTA,ANTOFAGASTA NORTE
DE ANTOFAGASTA,DISTRITO 3,4,ANTOFAGASTA,ANTOFAGASTA SUR
DEL BIOBIO,DISTRITO 21,4,ANTUCO,ANTUCO
DEL BIOBIO,DISTRITO 21,4,ARAUCO,ARAUCO
DEL BIOBIO,DISTRITO 21,4,ARAUCO,CARAMPANGUE
DEL BIOBIO,DISTRITO 21,4,ARAUCO,LARAQUETE
DEL BIOBIO,DISTRITO 21,4,ARAUCO,LLICO
DEL BIOBIO,DISTRITO 21,4,ARAUCO,PUNTA LAVAPIE
DEL BIOBIO,DISTRITO 21,4,ARAUCO,RAMADILLAS
DEL BIOBIO,DISTRITO 21,4,ARAUCO,TUBUL
DE ARICA Y PARINACOTA,DISTRITO 1,3,ARICA,ARICA
DE ARICA Y PARINACOTA,DISTRITO 1,3,ARICA,ARICA NORTE
DE ARICA Y PARINACOTA,DISTRITO 1,3,ARICA,SAN MIGUEL DE AZAPA
DE ARICA Y PARINACOTA,DISTRITO 1,3,ARICA,SECTOR EX BARRIO INDUSTRIAL DE ARICA
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,AYSEN,AISEN
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,AYSEN,MAÑIHUALES
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,AYSEN,PUERTO AGUIRRE
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,AYSEN,PUERTO CHACABUCO
METROPOLITANA DE SANTIAGO,DISTRITO 14,5,BUIN,ALTO JAHUEL
METROPOLITANA DE SANTIAGO,DISTRITO 14,5,BUIN,BUIN
METROPOLITANA DE SANTIAGO,DISTRITO 14,5,BUIN,VALDIVIA DE PAINE
DE ÑUBLE,DISTRITO 19,5,BULNES,BULNES
DE ÑUBLE,DISTRITO 19,5,BULNES,SANTA CLARA
DE VALPARAISO,DISTRITO 6,8,CABILDO,CABILDO
DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,3,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,ANTARTICA
DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,3,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,CABO DE HORNOS (NAVARINO)
DEL BIOBIO,DISTRITO 21,4,CABRERO,CABRERO
DEL BIOBIO,DISTRITO 21,4,CABRERO,MONTE AGUILA
DE ANTOFAGASTA,DISTRITO 3,4,CALAMA,CALAMA
DE ANTOFAGASTA,DISTRITO 3,4,CALAMA,CHIU CHIU
DE ANTOFAGASTA,DISTRITO 3,4,CALAMA,CHUQUICAMATA
DE LOS LAGOS,DISTRITO 26,4,CALBUCO,CALBUCO
DE LOS LAGOS,DISTRITO 26,4,CALBUCO,COLACO
DE LOS LAGOS,DISTRITO 26,4,CALBUCO,ISLA GUAR
DE LOS LAGOS,DISTRITO 26,4,CALBUCO,ISLA PULUQUI
DE LOS LAGOS,DISTRITO 26,4,CALBUCO,PARGUA
DE ATACAMA,DISTRITO 4,4,CALDERA,CALDERA
DE VALPARAISO,DISTRITO 6,8,CALERA,CALERA
METROPOLITANA DE SANTIAGO,DISTRITO 14,5,CALERA DE TANGO,CALERA DE TANGO
DE VALPARAISO,DISTRITO 6,8,CALLE LARGA,CALLE LARGA
DE ARICA Y PARINACOTA,DISTRITO 1,3,CAMARONES,CAMARONES
DE ARICA Y PARINACOTA,DISTRITO 1,3,CAMARONES,CODPA
DE TARAPACA,DISTRITO 2,3,CAMIÑA,CAMIÑA
DE COQUIMBO,DISTRITO 5,6,CANELA,CANELA (CANELA BAJA)
DE COQUIMBO,DISTRITO 5,6,CANELA,MINCHA
DEL BIOBIO,DISTRITO 21,4,CAÑETE,CAÑETE
DE LA ARAUCANIA,DISTRITO 23,6,CARAHUE,CARAHUE
DE LA ARAUCANIA,DISTRITO 23,6,CARAHUE,NEHUENTUE
DE LA ARAUCANIA,DISTRITO 23,6,CARAHUE,TROVOLHUE
DE VALPARAISO,DISTRITO 7,7,CARTAGENA,CARTAGENA
DE VALPARAISO,DISTRITO 7,7,CASABLANCA,CASABLANCA
DE LOS LAGOS,DISTRITO 26,4,CASTRO,CASTRO
DE LOS LAGOS,DISTRITO 26,4,CASTRO,CASTRO SUR
DE LOS LAGOS,DISTRITO 26,4,CASTRO,QUEHUI
DE LOS LAGOS,DISTRITO 26,4,CASTRO,RILAN
DE VALPARAISO,DISTRITO 6,8,CATEMU,CATEMU
DEL MAULE,DISTRITO 18,4,CAUQUENES,CAUQUENES
DEL MAULE,DISTRITO 18,4,CAUQUENES,POCILLAS
DEL MAULE,DISTRITO 18,4,CAUQUENES,SAUZAL
METROPOLITANA DE SANTIAGO,DISTRITO 8,7,CERRILLOS,CERRILLOS
METROPOLITANA DE SANTIAGO,DISTRITO 9,6,CERRO NAVIA,CERRO NAVIA
DE LOS LAGOS,DISTRITO 26,4,CHAITEN,AYACARA
DE LOS LAGOS,DISTRITO 26,4,CHAITEN,CHAITEN
DE LOS LAGOS,DISTRITO 26,4,CHAITEN,VILLA SANTA LUCIA
DE ATACAMA,DISTRITO 4,4,CHAÑARAL,CHANCO
DEL MAULE,DISTRITO 18,4,CHANCO,CHAÑARAL
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,4,CHEPICA,CHEPICA
DEL BIOBIO,DISTRITO 20,7,CHIGUAYANTE,CHIGUAYANTE
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,CHILE CHICO,CHILE CHICO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,CHILE CHICO,PUERTO GUADAL
DE ÑUBLE,DISTRITO 19,5,CHILLAN,CHILLAN
DE ÑUBLE,DISTRITO 19,5,CHILLAN,QUINCHAMALI
DE ÑUBLE,DISTRITO 19,5,CHILLAN VIEJO,CHILLAN VIEJO
DE ÑUBLE,DISTRITO 19,5,CHILLAN VIEJO,RUCAPEQUEN
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,4,CHIMBARONGO,CHIMBARONGO
DE LA ARAUCANIA,DISTRITO 23,6,CHOLCHOL,CHOLCHOL
DE LOS LAGOS,DISTRITO 26,4,CHONCHI,CHONCHI
DE LOS LAGOS,DISTRITO 26,4,CHONCHI,CUCAO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,CISNES,CISNES
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,CISNES,CORCOVADO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,CISNES,LA JUNTA
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,CISNES,PUYUHUAPI
DE ÑUBLE,DISTRITO 19,5,COBQUECURA,BUCHUPUREO
DE ÑUBLE,DISTRITO 19,5,COBQUECURA,COBQUECURA
DE LOS LAGOS,DISTRITO 26,4,COCHAMO,COCHAMO
DE LOS LAGOS,DISTRITO 26,4,COCHAMO,LLANADA GRANDE
DE LOS LAGOS,DISTRITO 26,4,COCHAMO,PUELO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,COCHRANE,COCHRANE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 15,5,CODEGUA,CODEGUA
DE ÑUBLE,DISTRITO 19,5,COELEMU,COELEMU
DE ÑUBLE,DISTRITO 19,5,COELEMU,GUARILIHUE
DE ÑUBLE,DISTRITO 19,5,COELEMU,RANGUELMO
DE ÑUBLE,DISTRITO 19,5,COELEMU,VEGAS DE ITATA
DE ÑUBLE,DISTRITO 19,5,COIHUECO,BUSTAMANTE
DE ÑUBLE,DISTRITO 19,5,COIHUECO,COIHUECO
DE ÑUBLE,DISTRITO 19,5,COIHUECO,COIHUECO SUR
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 15,5,COINCO,COINCO
DEL MAULE,DISTRITO 18,4,COLBUN,COLBUN
DE TARAPACA,DISTRITO 2,3,COLCHANE,COLCHANE
METROPOLITANA DE SANTIAGO,DISTRITO 8,7,COLINA,CHICUREO
METROPOLITANA DE SANTIAGO,DISTRITO 8,7,COLINA,COLINA
DE LA ARAUCANIA,DISTRITO 22,3,COLLIPULLI,COLLIPULLI
DE LA ARAUCANIA,DISTRITO 22,3,COLLIPULLI,MININCO
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 15,5,COLTAUCO,COLTAUCO
DE COQUIMBO,DISTRITO 5,6,COMBARBALA,COMBARBALA
DEL BIOBIO,DISTRITO 20,7,CONCEPCION,ANDALIEN
DEL BIOBIO,DISTRITO 20,7,CONCEPCION,CONCEPCION CENTRO
METROPOLITANA DE SANTIAGO,DISTRITO 9,6,CONCHALI,EL CORTIJO
METROPOLITANA DE SANTIAGO,DISTRITO 9,6,CONCHALI,LO NEGRETE
DE VALPARAISO,DISTRITO 7,7,CONCON,CONCON
DEL MAULE,DISTRITO 17,7,CONSTITUCION,CONSTITUCION
DEL MAULE,DISTRITO 17,7,CONSTITUCION,COSTA BLANCA
DEL MAULE,DISTRITO 17,7,CONSTITUCION,PUTU
DEL MAULE,DISTRITO 17,7,CONSTITUCION,SANTA OLGA
DEL BIOBIO,DISTRITO 21,4,CONTULMO,CONTULMO
DE ATACAMA,DISTRITO 4,4,COPIAPO,COPIAPO
DE ATACAMA,DISTRITO 4,4,COPIAPO,LOS VOLCANES
DE ATACAMA,DISTRITO 4,4,COPIAPO,PAIPOTE
DE ATACAMA,DISTRITO 4,4,COPIAPO,PALOMAR
DE COQUIMBO,DISTRITO 5,6,COQUIMBO,COQUIMBO
DE COQUIMBO,DISTRITO 5,6,COQUIMBO,TIERRAS BLANCAS
DE COQUIMBO,DISTRITO 5,6,COQUIMBO,TONGOY
DEL BIOBIO,DISTRITO 20,7,CORONEL,CORONEL
DEL BIOBIO,DISTRITO 20,7,CORONEL,ISLA SANTA MARIA
DEL BIOBIO,DISTRITO 20,7,CORONEL,LAGUNILLAS
DE LOS RIOS,DISTRITO 24,4,CORRAL,CORRAL
DE LOS RIOS,DISTRITO 24,4,CORRAL,ISLA DEL REY
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,COYHAIQUE,BALMACEDA
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,COYHAIQUE,COYHAIQUE
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,COYHAIQUE,ÑIREHUAO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,COYHAIQUE,VALLE SIMPSON
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,COYHAIQUE,VILLA ORTEGA
DE LA ARAUCANIA,DISTRITO 23,6,CUNCO,CUNCO
DE LA ARAUCANIA,DISTRITO 23,6,CUNCO,LOS LAURELES
DE LA ARAUCANIA,DISTRITO 22,3,CURACAUTIN,CURACAUTIN
DE LA ARAUCANIA,DISTRITO 22,3,CURACAUTIN,MALALCAHUELLO
METROPOLITANA DE SANTIAGO,DISTRITO 14,5,CURACAVI,CURACAVI
DE LOS LAGOS,DISTRITO 26,4,CURACO DE VELEZ,CURACO DE VELEZ
DEL BIOBIO,DISTRITO 21,4,CURANILAHUE,CURANILAHUE
DEL BIOBIO,DISTRITO 21,4,CURANILAHUE,SAN JOSE DE COLICO
DE LA ARAUCANIA,DISTRITO 23,6,CURARREHUE,CURARREHUE
DEL MAULE,DISTRITO 17,7,CUREPTO,CUREPTO
DEL MAULE,DISTRITO 17,7,CUREPTO,GUALLECO
DEL MAULE,DISTRITO 17,7,CUREPTO,HUAQUEN
DEL MAULE,DISTRITO 17,7,CURICO,CURICO
DEL MAULE,DISTRITO 17,7,CURICO,LOS NICHES
DEL MAULE,DISTRITO 17,7,CURICO,SARMIENTO
DE LOS LAGOS,DISTRITO 26,4,DALCAHUE,DALCAHUE
DE LOS LAGOS,DISTRITO 26,4,DALCAHUE,TENAUN
DE ATACAMA,DISTRITO 4,4,DIEGO DE ALMAGRO,DIEGO DE ALMAGRO
DE ATACAMA,DISTRITO 4,4,DIEGO DE ALMAGRO,EL SALVADOR
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 15,5,DOÑIHUE,DOÑIHUE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 15,5,DOÑIHUE,LO MIRANDA
METROPOLITANA DE SANTIAGO,DISTRITO 13,4,EL BOSQUE,CAPITAN AVALOS
METROPOLITANA DE SANTIAGO,DISTRITO 13,4,EL BOSQUE,LUIS CRUZ MARTINEZ
DE ÑUBLE,DISTRITO 19,5,EL CARMEN,EL CARMEN
METROPOLITANA DE SANTIAGO,DISTRITO 14,5,EL MONTE,EL MONTE
DE VALPARAISO,DISTRITO 7,7,EL QUISCO,EL QUISCO
DE VALPARAISO,DISTRITO 7,7,EL TABO,EL TABO
DEL MAULE,DISTRITO 17,7,EMPEDRADO,EMPEDRADO
DE LA ARAUCANIA,DISTRITO 22,3,ERCILLA,ERCILLA
DE LA ARAUCANIA,DISTRITO 22,3,ERCILLA,PAILAHUEQUE
METROPOLITANA DE SANTIAGO,DISTRITO 8,7,ESTACION CENTRAL,ALAMEDA
METROPOLITANA DE SANTIAGO,DISTRITO 8,7,ESTACION CENTRAL,LAS AMERICAS
DEL BIOBIO,DISTRITO 20,7,FLORIDA,COPIULEMU
DEL BIOBIO,DISTRITO 20,7,FLORIDA,FLORIDA
DE LA ARAUCANIA,DISTRITO 23,6,FREIRE,FREIRE
DE LA ARAUCANIA,DISTRITO 23,6,FREIRE,QUEPE
DE LA ARAUCANIA,DISTRITO 23,6,FREIRE,RADAL
DE ATACAMA,DISTRITO 4,4,FREIRINA,FREIRINA
DE LOS LAGOS,DISTRITO 25,3,FRESIA,FRESIA
DE LOS LAGOS,DISTRITO 25,3,FRESIA,TEGUALDA
DE LOS LAGOS,DISTRITO 25,3,FRUTILLAR,CASMA
DE LOS LAGOS,DISTRITO 25,3,FRUTILLAR,FRUTILLAR
DE LOS LAGOS,DISTRITO 26,4,FUTALEUFU,FUTALEUFU
DE LOS RIOS,DISTRITO 24,4,FUTRONO,CURRIÑE
DE LOS RIOS,DISTRITO 24,4,FUTRONO,FUTRONO
DE LOS RIOS,DISTRITO 24,4,FUTRONO,LLIFEN
DE LOS RIOS,DISTRITO 24,4,FUTRONO,NONTUELA
DE LA ARAUCANIA,DISTRITO 22,3,GALVARINO,GALVARINO
DE ARICA Y PARINACOTA,DISTRITO 1,3,GENERAL LAGOS,GENERAL LAGOS
DE LA ARAUCANIA,DISTRITO 23,6,GORBEA,GORBEA
DE LA ARAUCANIA,DISTRITO 23,6,GORBEA,LASTARRIA
DE LA ARAUCANIA,DISTRITO 23,6,GORBEA,QUITRATUE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 15,5,GRANEROS,GRANEROS
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,GUAITECAS,GUAITECAS
DE VALPARAISO,DISTRITO 6,8,HIJUELAS,HIJUELAS
DE LOS LAGOS,DISTRITO 26,4,HUALAIHUE,CONTAO
DE LOS LAGOS,DISTRITO 26,4,HUALAIHUE,HUALAIHUE
DE LOS LAGOS,DISTRITO 26,4,HUALAIHUE,HUALAIHUE PUERTO
DE LOS LAGOS,DISTRITO 26,4,HUALAIHUE,ROLECHA
DEL MAULE,DISTRITO 17,7,HUALAÑE,HUALAÑE
DEL MAULE,DISTRITO 17,7,HUALAÑE,LA HUERTA
DEL BIOBIO,DISTRITO 20,7,HUALPEN,HUALPEN
DEL BIOBIO,DISTRITO 20,7,HUALQUI,HUALQUI
DEL BIOBIO,DISTRITO 20,7,HUALQUI,TALCAMAVIDA
DE TARAPACA,DISTRITO 2,3,HUARA,CHIAPA
DE TARAPACA,DISTRITO 2,3,HUARA,HUARA
DE TARAPACA,DISTRITO 2,3,HUARA,PISAGUA
DE TARAPACA,DISTRITO 2,3,HUARA,SAN LORENZO DE TARAPACA
DE ATACAMA,DISTRITO 4,4,HUASCO,HUASCO
METROPOLITANA DE SANTIAGO,DISTRITO 9,6,HUECHURABA,HUECHURABA
METROPOLITANA DE SANTIAGO,DISTRITO 9,6,HUECHURABA,LOS LIBERTADORES
DE COQUIMBO,DISTRITO 5,6,ILLAPEL,ILLAPEL
METROPOLITANA DE SANTIAGO,DISTRITO 9,6,INDEPENDENCIA,INDEPENDENCIA
DE TARAPACA,DISTRITO 2,3,IQUIQUE,CHANAVAYITA
DE TARAPACA,DISTRITO 2,3,IQUIQUE,IQUIQUE
DE TARAPACA,DISTRITO 2,3,IQUIQUE,IQUIQUE SUR
METROPOLITANA DE SANTIAGO,DISTRITO 14,5,ISLA DE MAIPO,ISLA DE MAIPO
DE VALPARAISO,DISTRITO 7,7,ISLA DE PASCUA,ISLA DE PASCUA
DE VALPARAISO,DISTRITO 7,7,JUAN FERNANDEZ,JUAN FERNANDEZ
METROPOLITANA DE SANTIAGO,DISTRITO 13,4,LA CISTERNA,LA CISTERNA
DE VALPARAISO,DISTRITO 6,8,LA CRUZ,LA CRUZ
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,4,LA ESTRELLA,LA ESTRELLA
METROPOLITANA DE SANTIAGO,DISTRITO 12,6,LA FLORIDA,BELLAVISTA
METROPOLITANA DE SANTIAGO,DISTRITO 12,6,LA FLORIDA,SAN JOSE DE LA ESTRELLA
METROPOLITANA DE SANTIAGO,DISTRITO 12,6,LA FLORIDA,TRINIDAD
METROPOLITANA DE SANTIAGO,DISTRITO 10,7,LA GRANJA,LA GRANJA
DE COQUIMBO,DISTRITO 5,6,LA HIGUERA,LA HIGUERA
DE VALPARAISO,DISTRITO 6,8,LA LIGUA,LA LIGUA
DE VALPARAISO,DISTRITO 6,8,LA LIGUA,PICHICUY
DE VALPARAISO,DISTRITO 6,8,LA LIGUA,PLAYA LOS MOLLES
METROPOLITANA DE SANTIAGO,DISTRITO 12,6,LA PINTANA,LA PINTANA
METROPOLITANA DE SANTIAGO,DISTRITO 12,6,LA PINTANA,OBSERVATORIO
METROPOLITANA DE SANTIAGO,DISTRITO 11,6,LA REINA,LA REINA
DE COQUIMBO,DISTRITO 5,6,LA SERENA,LA SERENA
DE COQUIMBO,DISTRITO 5,6,LA SERENA,LAS COMPAÑIAS
DE LOS RIOS,DISTRITO 24,4,LA UNION,LA UNION
DE LOS RIOS,DISTRITO 24,4,LA UNION,PUERTO NUEVO
DE LOS RIOS,DISTRITO 24,4,LAGO RANCO,IGNAO
DE LOS RIOS,DISTRITO 24,4,LAGO RANCO,LAGO RANCO
DE LOS RIOS,DISTRITO 24,4,LAGO RANCO,RIÑINAHUE
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,LAGO VERDE,LA TAPERA
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,LAGO VERDE,LAGO VERDE
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,3,LAGO VERDE,VILLA AMENGUAL
DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,3,LAGUNA BLANCA,LAGUNA BLANCA
DEL BIOBIO,DISTRITO 21,4,LAJA,LA LAJA
